,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Departments,salary,Churn Probability
3954,0.7,0.84,2,114,4,0,0,IT,low,0.04012184660954901
3955,0.87,0.6,2,122,2,0,0,IT,low,0.010974569654090308
3956,0.44,0.55,3,170,3,1,0,IT,low,0.050436769057640225
3957,0.54,0.91,3,151,3,0,0,product_mng,medium,0.008633572353536243
3958,0.55,0.75,3,156,3,0,0,product_mng,medium,0.008563069504580804
3959,0.81,0.75,5,170,3,1,0,product_mng,medium,0.007019727030902716
3960,0.5,0.55,3,188,2,0,0,product_mng,medium,0.007160260831442624
3961,0.93,0.74,4,201,3,1,0,IT,medium,0.005948353560394743
3962,0.64,0.5,6,254,6,0,0,RandD,medium,0.052505679875183356
3963,0.57,0.78,3,206,4,0,0,RandD,medium,0.027988453003155632
3964,0.95,0.74,4,216,3,0,0,RandD,medium,0.007834289165815956
3965,0.86,0.67,5,200,3,0,0,RandD,medium,0.007564500523970353
3966,0.82,0.58,4,202,2,0,0,RandD,medium,0.00720895277499906
3967,0.18,0.79,4,217,4,0,0,RandD,medium,0.06271791331601041
3968,0.58,0.7,5,151,4,0,0,marketing,medium,0.028676159212853717
3969,0.57,0.56,3,224,2,0,0,sales,high,0.007624660988275059
3970,0.94,0.83,5,148,3,0,0,accounting,low,0.008719572112830455
3971,0.2,0.97,6,224,5,1,0,support,medium,0.13969317407712567
3972,0.73,0.75,2,243,5,1,0,technical,medium,0.06643744056010584
3973,0.94,0.8,4,238,3,1,0,management,medium,0.009426690110465364
3974,0.99,0.61,3,254,3,0,0,marketing,medium,0.0075259920662661345
3975,0.22,0.49,4,218,4,0,0,marketing,low,0.06152507375729089
3976,0.67,0.66,3,237,3,0,0,marketing,low,0.008622107810509129
3977,0.49,0.67,4,185,2,0,0,sales,low,0.009657463399711387
3978,0.78,0.95,4,184,3,0,0,sales,low,0.007988574322298941
3979,0.15,0.74,2,176,3,1,0,sales,low,0.0199453885782504
3980,0.91,0.89,4,260,3,0,0,sales,low,0.02946645292298762
3981,0.7,0.78,4,254,4,0,0,sales,low,0.04023612905433952
3982,0.6,0.95,3,221,3,0,0,sales,low,0.009906204124350497
3983,0.59,0.57,5,257,2,0,0,sales,low,0.009520054795439976
3984,0.59,0.93,3,265,3,1,0,sales,low,0.007896740023608498
3985,0.55,0.64,3,138,3,1,0,sales,low,0.008104214428965055
3986,0.42,0.75,3,163,2,1,0,sales,low,0.049481120137640285
3987,0.57,0.81,3,144,3,0,0,sales,low,0.010060270834487225
3988,0.72,0.51,3,146,2,1,0,sales,low,0.005887426310957183
3989,0.83,0.81,3,242,6,0,0,sales,low,0.27929176795432054
3990,0.89,0.93,4,249,3,0,0,sales,low,0.03118478910696828
3991,0.55,0.59,3,245,3,0,0,sales,low,0.009517499302927696
3992,0.53,0.75,4,201,2,0,0,sales,low,0.011817858502642343
3993,0.74,0.59,4,177,4,1,0,sales,medium,0.022072101562592962
3994,0.63,0.98,4,160,2,0,0,sales,medium,0.009179835111372535
3995,0.63,0.4,6,177,2,1,0,sales,medium,0.029812172175447755
3996,0.61,0.97,4,153,3,0,0,accounting,medium,0.008566635157143612
3997,0.76,0.79,3,197,5,0,0,accounting,medium,0.07087190664320275
3998,0.67,0.82,4,246,4,0,0,accounting,medium,0.07309622339143841
3999,0.51,0.95,4,258,3,0,0,hr,medium,0.019311592199988507
4000,0.67,0.55,3,137,3,0,0,hr,medium,0.010165028666872376
4001,0.16,0.94,3,178,4,0,0,hr,medium,0.05897673865539608
4002,0.34,0.85,4,123,4,0,0,hr,medium,0.07006042960653067
4003,0.58,0.73,5,162,3,1,0,technical,medium,0.007716919133337664
4004,0.5,0.71,5,210,5,0,0,technical,medium,0.06540823596256069
4005,0.56,0.48,4,197,3,1,0,technical,high,0.00605285541030887
4006,0.56,0.98,3,220,3,0,0,technical,low,0.009835776564845758
4007,0.74,0.71,4,133,2,0,0,technical,medium,0.008820697574981655
4008,0.69,0.99,3,198,2,0,0,technical,medium,0.008674722705557275
4009,0.15,0.81,4,160,5,0,0,technical,medium,0.051867151647978595
4010,0.58,0.67,2,180,2,0,0,technical,medium,0.020951975741180916
4011,0.8,0.79,3,217,3,0,0,technical,low,0.009078831377428095
4012,0.5,0.57,3,223,3,0,0,technical,low,0.009353109033906347
4013,0.66,0.92,4,229,2,0,0,technical,low,0.011641923704530644
4014,0.81,0.78,4,159,3,0,0,support,low,0.0079661390473767
4015,0.14,0.68,5,253,5,0,0,support,low,0.06015479786102058
4016,0.92,0.85,3,235,2,0,0,support,low,0.009498660787820665
4017,0.69,0.91,4,186,3,0,0,support,low,0.00860254622992554
4018,0.66,0.99,4,263,2,0,0,support,low,0.014344937977570646
4019,0.85,0.39,4,239,4,0,0,support,low,0.026384016823848475
4020,0.83,0.69,4,151,2,0,0,support,low,0.007267873603302413
4021,1.0,0.49,3,106,4,0,0,support,low,0.020704004675995136
4022,0.68,0.65,3,183,4,0,0,support,low,0.025676544203297874
4023,0.26,0.97,3,125,2,0,0,support,low,0.05028110979191425
4024,0.35,0.41,3,157,2,0,0,support,low,0.03962412707106329
4025,0.12,0.58,3,241,2,0,0,technical,low,0.07368969728797112
4026,0.91,0.93,4,184,3,0,0,technical,low,0.006973741070231622
4027,0.65,0.67,4,144,3,0,0,technical,low,0.008351766620110813
4028,0.78,0.72,3,255,4,1,0,management,low,0.025449491548425237
4029,0.61,0.82,3,261,4,0,0,IT,low,0.04384033836709277
4030,0.64,0.51,4,207,2,0,0,IT,low,0.006415372084657609
4031,0.58,0.73,4,205,4,0,0,IT,low,0.026713904433049614
4032,0.63,0.76,4,217,2,1,0,IT,medium,0.007455986161623288
4033,0.94,0.6,4,215,2,1,0,IT,medium,0.005351990942024208
4034,0.26,0.81,5,139,4,0,0,product_mng,medium,0.05814748738918615
4035,0.59,0.69,3,146,3,0,0,product_mng,medium,0.007560819542695544
4036,0.78,0.8,4,175,3,0,0,product_mng,medium,0.00781024575208648
4037,0.86,0.64,5,188,3,0,0,product_mng,medium,0.007500144825789464
4038,0.79,0.73,5,155,3,0,0,IT,medium,0.00843551838763387
4039,0.89,0.73,4,171,4,0,0,RandD,medium,0.024558500165113472
4040,0.34,0.99,4,184,3,0,0,RandD,medium,0.1202073578823651
4041,0.29,0.77,3,164,6,0,0,RandD,medium,0.03475047070897576
4042,0.71,0.89,3,244,4,0,0,RandD,medium,0.04318158466192093
4043,0.93,0.58,4,222,2,0,0,RandD,medium,0.007949158244602798
4044,0.94,0.76,4,231,3,1,0,RandD,high,0.006485502634712939
4045,0.91,0.72,3,213,3,0,0,marketing,low,0.006508797871966414
4046,0.71,0.96,4,144,4,0,0,sales,medium,0.028145630005235744
4047,0.67,0.81,3,221,4,1,0,accounting,medium,0.04778532468296047
4048,0.54,0.42,3,138,3,1,0,support,medium,0.007800107988654434
4049,0.89,0.58,3,183,4,0,0,technical,medium,0.048586283403585305
4050,0.94,0.91,3,250,3,1,0,management,low,0.010479870850131334
4051,0.15,0.89,3,219,6,0,0,marketing,low,0.10802149282417417
4052,0.45,0.92,6,164,4,1,0,marketing,low,0.10061228590849026
4053,0.92,0.67,4,161,4,1,0,marketing,low,0.021842885996724827
4054,0.63,0.56,4,274,5,1,0,sales,low,0.11603117707568625
4055,0.8,0.66,4,181,3,1,0,sales,low,0.007024927846447202
4056,0.45,0.72,3,148,2,0,0,sales,low,0.046635529991934106
4057,0.72,0.54,3,226,2,1,0,sales,low,0.006851084271768087
4058,0.84,0.36,6,256,5,0,0,sales,low,0.09577745826678964
4059,0.61,0.51,3,141,2,0,0,sales,low,0.007168933647132388
4060,0.63,0.88,3,177,3,0,0,sales,low,0.0088354948105378
4061,0.49,0.54,4,173,2,0,0,sales,low,0.008504014690467085
4062,0.68,0.51,2,196,3,0,0,sales,low,0.015512555803785046
4063,0.64,0.85,5,179,2,0,0,sales,low,0.010491476859572059
4064,0.61,0.64,4,201,3,0,0,sales,low,0.00801014826111479
4065,0.83,0.55,5,247,3,0,0,sales,low,0.009464364450747213
4066,0.94,0.51,5,238,2,0,0,sales,low,0.007556144543905815
4067,0.27,0.66,3,133,6,0,0,sales,low,0.046878859926921035
4068,0.6,0.49,2,194,4,0,0,sales,low,0.021165418386971897
4069,0.83,0.69,4,232,2,0,0,sales,low,0.009528909415849279
4070,0.53,0.75,3,232,3,0,0,sales,low,0.010229019563603725
4071,0.79,0.97,4,204,3,0,0,sales,medium,0.007888432025298493
4072,0.96,0.49,4,252,3,1,0,sales,medium,0.006537329858703439
4073,0.5,0.56,3,164,3,0,0,accounting,medium,0.00847347374775804
4074,0.68,0.81,5,266,2,0,0,accounting,medium,0.016379784147995412
4075,0.24,0.54,4,226,4,1,0,accounting,medium,0.0906377120388396
4076,0.8,0.8,4,252,6,0,0,hr,medium,0.1608133635396024
4077,0.62,0.74,4,155,3,0,0,hr,medium,0.009350314803295828
4078,1.0,0.85,3,202,2,0,0,hr,medium,0.015783632787500442
4079,0.64,0.75,3,214,3,0,0,hr,medium,0.008675209972258353
4080,0.51,0.55,4,267,3,0,0,technical,medium,0.013185064700004582
4081,0.74,0.5,4,265,3,0,0,technical,medium,0.011430548518436235
4082,0.49,0.99,3,221,2,1,0,technical,medium,0.008712894127791627
4083,0.96,0.83,4,132,6,0,0,technical,high,0.11308051025358914
4084,0.59,0.62,4,227,4,1,0,technical,low,0.04228202206266162
4085,0.84,0.57,4,234,3,0,0,technical,medium,0.00901857382208391
4086,0.16,0.84,3,238,6,0,0,technical,medium,0.09910786820709946
4087,0.62,0.75,3,149,2,1,0,technical,medium,0.007214586943760724
4088,0.79,0.67,4,152,3,0,0,technical,medium,0.008243608568249525
4089,0.53,0.83,4,249,3,1,0,technical,low,0.012232286656818416
4090,0.17,0.48,6,270,5,0,0,technical,low,0.09216013818215585
4091,0.57,0.76,3,200,2,0,0,support,low,0.008266140985005579
4092,0.65,0.82,4,207,2,0,0,support,low,0.008364686345214362
4093,0.69,0.74,4,266,2,1,0,support,low,0.008682407202503533
4094,0.3,0.8,6,250,3,0,0,support,low,0.10175029440207187
4095,0.99,0.92,3,220,3,0,0,support,low,0.010377128237131427
4096,0.5,0.69,4,177,2,0,0,support,low,0.00832363805226231
4097,0.54,0.96,3,147,2,0,0,support,medium,0.009975949061194513
4098,0.69,0.57,4,227,4,0,0,support,medium,0.024112337951257334
4099,0.5,0.85,4,272,2,0,0,support,medium,0.013573902442648689
4100,0.66,0.73,3,244,3,0,0,support,medium,0.009068953557886842
4101,1.0,0.93,5,182,3,1,0,support,medium,0.0062298873739221015
4102,0.15,0.61,3,146,6,1,0,technical,medium,0.034012152274675994
4103,0.31,0.54,5,259,5,1,0,technical,medium,0.0928952664261646
4104,0.65,0.49,4,184,4,0,0,technical,medium,0.038670696455307206
4105,0.72,0.69,4,149,2,0,0,management,medium,0.007772598573586931
4106,0.84,0.85,4,185,3,1,0,IT,medium,0.006817488541255778
4107,0.55,0.8,3,254,2,0,0,IT,medium,0.010034397589194544
4108,0.6,0.58,4,249,3,0,0,IT,medium,0.009330679379041473
4109,0.84,0.48,4,269,2,0,0,IT,medium,0.00981384475749532
4110,0.68,0.87,3,168,3,0,0,IT,medium,0.008255950089003237
4111,0.13,1.0,6,225,3,0,0,product_mng,medium,0.17582478725923043
4112,0.88,0.98,3,160,2,0,0,product_mng,medium,0.006499046160276399
4113,0.64,0.57,5,149,3,1,0,product_mng,medium,0.007805127614094251
4114,0.19,0.95,5,193,3,0,0,product_mng,medium,0.05400269769745201
4115,0.83,0.88,5,171,3,1,0,IT,medium,0.007163536874110109
4116,0.17,0.41,4,232,3,1,0,RandD,medium,0.04757901611048515
4117,0.44,0.74,4,250,6,0,0,RandD,medium,0.06351913011724951
4118,0.52,0.55,4,243,2,0,0,RandD,medium,0.008302176120018037
4119,0.66,0.62,4,250,2,0,0,RandD,medium,0.008279719195020886
4120,0.96,0.55,4,153,3,0,0,RandD,medium,0.00762909879540343
4121,0.19,0.5,5,126,3,1,0,RandD,medium,0.046734485621879956
4122,0.86,1.0,3,192,3,0,0,marketing,high,0.014128206693969879
4123,0.65,0.57,3,137,4,1,0,sales,high,0.02069459921292864
4124,0.61,0.97,3,199,3,1,0,accounting,high,0.006652197688138727
4125,0.53,0.96,3,181,3,1,0,support,high,0.00837699709379353
4126,0.14,0.76,5,260,6,0,0,technical,high,0.05237883526707565
4127,0.74,1.0,4,199,4,0,0,management,high,0.050911680574762815
4128,0.47,0.62,6,171,5,1,0,marketing,high,0.059522721670608146
4129,0.6,0.56,4,260,3,0,0,marketing,high,0.008008465789048283
4130,0.81,0.58,3,243,4,0,0,marketing,high,0.025939229458840262
4131,0.95,0.59,2,154,4,0,0,sales,high,0.017239404716269176
4132,0.98,0.8,2,201,2,0,0,sales,high,0.025128695891552328
4133,0.52,0.8,5,234,3,0,0,sales,high,0.010219427612048259
4134,1.0,0.97,3,216,3,1,0,sales,low,0.007447631485155327
4135,0.16,0.74,5,205,4,1,0,sales,low,0.05159098149989522
4136,0.19,0.83,3,225,4,0,0,sales,low,0.0680410839335102
4137,0.94,0.87,3,229,3,0,0,sales,low,0.010055158685043116
4138,0.58,0.43,6,132,3,0,0,sales,low,0.03484297710677403
4139,0.92,0.69,4,180,3,0,0,sales,low,0.00695308610521708
4140,0.65,0.8,4,164,4,0,0,sales,low,0.02558108466201044
4141,0.74,0.74,5,175,3,0,0,sales,low,0.008935678750512762
4142,0.6,0.53,5,103,2,0,0,sales,low,0.010766376997022566
4143,1.0,1.0,5,142,4,0,0,sales,low,0.04673736778936148
4144,0.81,0.96,4,212,3,0,0,sales,low,0.008421321363503216
4145,0.54,0.67,2,129,3,1,0,sales,low,0.010268387760310648
4146,0.18,0.81,5,140,4,0,0,sales,low,0.0590761965545905
4147,0.82,0.88,4,149,2,0,0,sales,low,0.00882959254311802
4148,0.9,0.96,2,258,2,0,0,sales,low,0.03264505112700332
4149,0.62,0.62,4,136,2,0,0,sales,medium,0.008907617038453344
4150,0.77,0.76,2,216,3,1,0,accounting,medium,0.012427290213845768
4151,0.58,0.86,3,151,2,0,0,accounting,medium,0.008423953475544284
4152,0.27,0.47,5,217,6,0,0,accounting,medium,0.07907393251306527
4153,0.78,0.72,4,219,3,0,0,hr,medium,0.010966539191110047
4154,0.98,0.66,3,150,3,0,0,hr,medium,0.00695819449943577
4155,0.75,0.5,4,98,4,0,0,hr,medium,0.029767373221448058
4156,0.74,0.67,5,140,3,0,0,hr,medium,0.00939623351101394
4157,0.9,0.99,3,259,3,1,0,technical,medium,0.012588479754662409
4158,0.73,0.71,5,215,6,1,0,technical,medium,0.05006210334112722
4159,0.9,0.62,4,258,3,0,0,technical,medium,0.01026588505580248
4160,0.68,0.91,4,162,3,1,0,technical,medium,0.006876102205263245
4161,0.9,0.74,3,260,4,0,0,technical,high,0.04264018896316728
4162,0.64,0.93,5,198,2,0,0,technical,high,0.008960613677316345
4163,0.63,0.9,2,242,3,1,0,technical,high,0.023421863743526096
4164,0.87,0.89,4,219,4,0,0,technical,high,0.09194398428390835
4165,0.6,0.55,4,204,3,0,0,technical,high,0.0074340690142463885
4166,0.7,0.74,3,157,3,0,0,technical,high,0.008212713566283412
4167,0.15,0.94,5,244,6,0,0,technical,high,0.1260636716735267
4168,0.45,0.75,3,122,3,0,0,support,high,0.04187346842955684
4169,0.43,0.9,5,282,5,0,0,support,low,0.1865775112919146
4170,0.92,0.46,5,195,5,0,0,support,low,0.057342261805590086
4171,0.72,0.81,4,134,2,0,0,support,low,0.010593972268977011
4172,0.94,0.84,3,210,2,0,0,support,low,0.00669555685149372
4173,0.74,0.52,3,170,3,0,0,support,low,0.006883481109261354
4174,0.48,0.71,2,140,3,1,0,support,low,0.02460268187014207
4175,0.84,0.76,5,215,2,1,0,support,low,0.007261235019989722
4176,0.53,0.86,3,150,3,0,0,support,low,0.010642223284279195
4177,0.45,0.88,5,268,3,1,0,support,medium,0.06427872526594673
4178,0.95,0.67,4,270,4,0,0,support,medium,0.028889023137018546
4179,0.95,0.58,3,163,3,0,0,technical,medium,0.00712828876208333
4180,0.7,0.85,3,188,2,0,0,technical,medium,0.009058175717235412
4181,0.19,0.93,3,110,4,0,0,technical,medium,0.049112179804859386
4182,0.74,0.91,5,135,3,0,0,management,medium,0.012978762139722076
4183,0.54,0.59,4,228,3,0,0,IT,medium,0.00905158265560297
4184,0.5,0.69,5,172,2,0,0,IT,medium,0.008349777854656723
4185,0.95,0.72,3,168,5,0,0,IT,medium,0.04268210597069753
4186,0.69,0.69,5,160,3,0,0,IT,medium,0.007944427371547182
4187,0.24,0.74,5,282,3,0,0,IT,medium,0.07218126529608647
4188,0.96,0.7,5,184,2,1,0,product_mng,medium,0.005653774416709405
4189,0.61,0.5,4,217,4,1,0,product_mng,medium,0.02300723870185955
4190,0.76,0.53,6,281,3,0,0,product_mng,medium,0.055407345875306255
4191,0.61,0.64,3,245,2,0,0,product_mng,medium,0.008164006630321918
4192,0.37,0.48,2,285,5,0,0,IT,medium,0.38780541602603
4193,0.81,0.9,4,165,3,0,0,RandD,medium,0.007451334396793566
4194,0.59,0.9,3,146,3,0,0,RandD,medium,0.007816969220441772
4195,0.73,0.82,3,133,3,0,0,RandD,medium,0.012642867300124915
4196,0.87,0.57,2,181,6,0,0,RandD,medium,0.019499253575972212
4197,0.67,0.66,6,152,3,0,0,RandD,medium,0.04148889729254589
4198,0.96,0.78,2,284,3,0,0,RandD,medium,0.06173874810943478
4199,0.98,0.51,3,157,3,0,0,marketing,medium,0.007535523781998337
4200,0.5,0.58,4,165,2,0,0,sales,high,0.008832564838943353
4201,0.49,0.71,3,255,2,1,0,accounting,low,0.009588700619264139
4202,0.13,0.65,4,194,4,0,0,support,medium,0.05721859295746087
4203,0.57,0.68,3,102,6,0,0,technical,medium,0.045768159706005784
4204,0.51,0.94,4,247,2,0,0,management,medium,0.012951132905231035
4205,0.99,0.69,3,206,2,0,0,marketing,medium,0.006102486961225428
4206,0.8,0.77,3,171,2,0,0,marketing,medium,0.007709316657310968
4207,0.56,0.39,5,263,4,0,0,marketing,medium,0.03540753173338858
4208,0.96,0.84,4,272,4,1,0,sales,medium,0.08176035447048767
4209,0.96,0.5,3,158,2,1,0,sales,medium,0.005006893870349483
4210,0.87,0.53,6,216,6,1,0,sales,medium,0.04808644074869336
4211,0.61,0.9,5,113,3,0,0,sales,medium,0.011266903323922712
4212,0.18,0.6,3,140,4,0,0,sales,low,0.0525138532410259
4213,0.24,0.77,5,178,5,0,0,sales,low,0.041739018310428845
4214,0.86,0.48,4,153,3,0,0,sales,low,0.008932239389901815
4215,0.25,0.62,6,271,5,0,0,sales,low,0.08406926307802169
4216,0.25,0.82,3,269,5,0,0,sales,low,0.10995318950894543
4217,0.63,0.55,3,160,3,0,0,sales,low,0.009125027812448177
4218,0.89,0.68,4,258,2,1,0,sales,low,0.009131000694822127
4219,0.87,0.82,4,251,3,0,0,sales,high,0.022125712929419745
4220,0.87,0.78,3,170,2,0,0,sales,low,0.008409485098858865
4221,0.71,0.99,4,238,4,1,0,sales,high,0.06004087278771292
4222,0.98,0.87,4,152,2,0,0,sales,high,0.006974033542006785
4223,0.16,0.51,3,262,6,0,0,sales,low,0.04179408770600148
4224,0.83,0.68,4,273,2,0,0,sales,low,0.013277296949933943
4225,0.65,0.77,3,233,2,0,0,sales,high,0.008882151369061191
4226,0.95,0.64,3,262,3,0,0,sales,low,0.00784246520040581
4227,0.67,0.67,3,183,3,0,0,accounting,medium,0.007536905002998533
4228,0.53,0.88,3,150,3,1,0,accounting,high,0.007466144062495265
4229,0.74,0.94,3,132,3,0,0,accounting,medium,0.010561985439007172
4230,0.77,0.79,3,200,4,0,0,hr,medium,0.0355797589754951
4231,0.13,0.72,4,148,5,0,0,hr,medium,0.042829919373340644
4232,0.82,0.92,3,187,3,1,0,hr,medium,0.01446091816116963
4233,0.88,0.65,4,224,2,0,0,hr,high,0.007283038792521648
4234,0.89,0.5,4,147,2,0,0,technical,medium,0.006403371135163856
4235,0.85,0.51,3,153,4,0,0,technical,medium,0.039388186068060514
4236,0.93,0.87,5,154,2,0,0,technical,medium,0.006856309950989072
4237,0.62,0.7,5,270,3,0,0,technical,high,0.011486454576530088
4238,0.58,0.96,3,202,2,0,0,technical,medium,0.007953596411477868
4239,0.98,0.5,4,264,3,0,0,technical,high,0.010815027760018619
4240,0.52,0.45,2,145,3,0,0,technical,low,0.03361218731014882
4241,0.76,0.49,3,138,2,1,0,technical,medium,0.006336679535699263
4242,0.73,0.91,3,238,2,0,0,technical,medium,0.010548501661931818
4243,0.74,0.64,4,147,5,0,0,technical,medium,0.06148979919829542
4244,0.49,0.48,3,190,2,0,0,technical,medium,0.008486934403124648
4245,0.91,0.97,4,183,3,0,0,support,low,0.007166430783142917
4246,0.74,0.92,5,255,3,0,0,support,low,0.03273310421673763
4247,0.86,0.82,4,252,4,0,0,support,low,0.11061801165109288
4248,0.52,0.47,6,141,5,1,0,support,low,0.051783759710406586
4249,0.95,0.81,3,260,2,0,0,support,low,0.011519251352593485
4250,0.65,0.98,3,136,3,0,0,support,low,0.010067599202258465
4251,0.7,0.56,4,182,2,0,0,support,low,0.006755946245098435
4252,0.14,0.66,6,142,5,0,0,support,low,0.08043289703451557
4253,0.92,0.53,2,261,4,0,0,support,low,0.03369687627810139
4254,0.54,0.6,3,209,2,0,0,support,low,0.008404432870236926
4255,0.76,0.95,2,156,4,0,0,support,high,0.06218613780977571
4256,0.78,0.66,4,214,2,0,0,technical,low,0.007757968630154406
4257,0.85,0.86,4,250,3,0,0,technical,low,0.03023842153959236
4258,0.78,0.8,4,197,3,1,0,technical,low,0.007063819289631862
4259,0.55,0.72,3,149,3,0,0,management,low,0.008809850812674873
4260,0.68,0.61,5,271,2,0,0,IT,high,0.009430413583511757
4261,0.91,0.68,4,187,2,0,0,IT,low,0.006058354296669246
4262,0.76,0.56,3,154,2,0,0,IT,low,0.006366318317799193
4263,0.15,0.67,4,264,3,0,0,IT,low,0.05167265652795901
4264,0.95,0.6,2,144,3,0,0,IT,high,0.008689283847959323
4265,0.74,0.37,6,200,3,0,0,product_mng,low,0.029904979736423268
4266,0.92,0.56,5,197,2,1,0,product_mng,medium,0.005098263092588324
4267,0.64,0.89,3,175,3,1,0,product_mng,high,0.006592842675570126
4268,0.96,0.9,3,161,3,0,0,product_mng,medium,0.006256618678870991
4269,0.21,0.72,3,245,6,0,0,IT,high,0.03476175434357293
4270,0.85,0.67,3,167,4,0,0,RandD,medium,0.024008849535560494
4271,0.52,0.86,5,168,3,0,0,RandD,medium,0.010413567525473507
4272,0.54,0.81,5,261,6,0,0,RandD,medium,0.22902110698535735
4273,0.56,0.81,5,274,4,0,0,RandD,medium,0.09082205314411979
4274,0.59,0.79,4,181,3,0,0,RandD,medium,0.007883460434777478
4275,0.88,0.58,5,266,3,1,0,marketing,medium,0.00939613187490628
4276,0.7,0.84,4,184,3,0,0,sales,medium,0.008692307915168392
4277,0.95,0.58,3,193,2,0,0,accounting,medium,0.0064589917087778444
4278,0.83,0.88,3,217,2,1,0,support,high,0.011602567670321317
4279,0.76,0.62,4,197,3,0,0,technical,low,0.008038164025065983
4280,0.82,0.92,5,252,3,0,0,management,medium,0.04063940899709723
4281,0.55,0.97,4,136,3,0,0,marketing,medium,0.009053427097369931
4282,0.89,0.55,5,194,4,0,0,marketing,medium,0.02480404281438412
4283,0.66,0.94,4,190,3,0,0,marketing,medium,0.007895140721381677
4284,0.41,0.61,3,185,2,1,0,sales,medium,0.0429186836953764
4285,0.83,0.77,3,232,2,1,0,sales,medium,0.00851393461593597
4286,0.88,0.72,3,200,2,1,0,sales,medium,0.006242532322974744
4287,0.56,0.66,5,155,2,0,0,sales,medium,0.009616684799673054
4288,0.53,0.72,3,228,3,0,0,sales,medium,0.009493805508874525
4289,0.8,0.41,3,188,4,0,0,sales,high,0.021684209905225422
4290,0.95,0.78,4,245,3,0,0,sales,low,0.00832174113508935
4291,0.9,0.88,4,205,2,0,0,sales,low,0.00787638659439427
4292,0.5,0.97,4,269,3,0,0,sales,low,0.01561324143213639
4293,0.4,0.59,3,207,6,0,0,sales,high,0.049976515988952135
4294,0.52,0.85,3,250,4,0,0,sales,low,0.0377967047316768
4295,0.51,0.5,5,251,3,1,0,sales,low,0.008197310765097507
4296,0.84,0.62,5,217,3,0,0,sales,low,0.010541037092783144
4297,0.78,0.98,5,252,3,0,0,sales,high,0.03238480438057897
4298,0.91,0.71,2,159,3,1,0,sales,low,0.008759278241807198
4299,0.59,0.71,5,169,2,0,0,sales,low,0.009340314632053091
4300,0.69,0.97,5,105,4,0,0,sales,low,0.031110377991964446
4301,0.87,0.93,4,268,2,0,0,sales,low,0.03152854694334558
4302,0.66,1.0,5,145,2,0,0,sales,low,0.021146810436571597
4303,0.5,0.54,4,165,3,0,0,accounting,low,0.008408571309954038
4304,0.95,0.75,3,253,4,0,0,accounting,low,0.02503421405168798
4305,0.77,0.64,3,254,3,0,0,accounting,medium,0.009020784647063912
4306,0.66,0.5,3,218,2,0,0,hr,medium,0.0077569407779468766
4307,0.61,0.98,3,138,5,1,0,hr,medium,0.11144843970045078
4308,0.7,0.87,5,239,3,0,0,hr,medium,0.02655139462649245
4309,0.89,0.71,5,182,2,1,0,hr,medium,0.0077970033667914785
4310,0.6,0.78,4,152,3,1,0,technical,medium,0.007095202992802527
4311,0.62,0.51,3,222,3,1,0,technical,medium,0.006711312065983357
4312,0.59,0.9,2,219,2,1,0,technical,medium,0.024142286938015338
4313,0.69,0.59,4,266,4,0,0,technical,medium,0.05155565387256446
4314,0.36,0.94,3,113,5,1,0,technical,medium,0.07512172969069762
4315,0.59,0.93,4,146,3,0,0,technical,medium,0.008098957020212605
4316,0.5,0.51,5,238,4,0,0,technical,medium,0.04753474788877168
4317,0.53,0.99,3,188,3,0,0,technical,high,0.008028027720310263
4318,0.84,0.9,4,237,2,0,0,technical,low,0.026570247594618936
4319,0.51,0.95,4,201,3,0,0,technical,medium,0.008498903545040171
4320,0.53,0.56,5,188,3,0,0,technical,medium,0.008461561337469385
4321,0.98,0.63,3,137,3,0,0,support,medium,0.007257367633443996
4322,0.95,0.81,4,263,3,0,0,support,medium,0.015735227329412214
4323,0.13,0.76,5,217,3,0,0,support,low,0.06627854692263564
4324,0.5,0.64,4,213,4,0,0,support,low,0.028177562821967476
4325,0.93,0.76,3,244,3,0,0,support,low,0.007599709466757998
4326,0.5,0.87,3,252,2,0,0,support,low,0.011548578074930493
4327,0.66,0.84,4,168,2,0,0,support,low,0.008659372307484819
4328,0.89,0.79,4,212,3,0,0,support,low,0.007290610735183461
4329,0.46,0.43,4,258,3,0,0,support,low,0.056299210810800485
4330,0.67,0.6,4,210,3,0,0,support,low,0.007689816652508699
4331,0.96,0.9,4,246,3,0,0,support,low,0.02293269673001902
4332,0.98,0.76,4,221,3,1,0,technical,low,0.006968455647342307
4333,0.67,0.57,5,215,4,0,0,technical,low,0.04213624681573102
4334,0.72,0.72,4,175,4,0,0,technical,low,0.04537953084687042
4335,0.65,0.49,5,221,2,0,0,management,low,0.008965772079345498
4336,0.72,0.67,5,219,3,0,0,IT,low,0.009496951190651224
4337,0.78,0.58,3,154,3,0,0,IT,low,0.007732722658874664
4338,0.93,0.56,3,266,2,0,0,IT,low,0.007545784568873534
4339,0.73,0.85,5,224,4,0,0,IT,low,0.1114741990586945
4340,0.2,0.57,4,269,5,1,0,IT,low,0.05209244945360375
4341,0.47,0.5,4,159,2,0,0,product_mng,low,0.036941296962841236
4342,0.56,0.62,4,247,3,0,0,product_mng,low,0.00944627050318601
4343,0.72,0.86,4,137,2,0,0,product_mng,low,0.0082881072479291
4344,0.91,0.56,4,251,4,0,0,product_mng,medium,0.024415960114179566
